Country,Birth,Gender,Rate,Year,Value
France,FB,Women,Employment rate,2009,50.4
France,FB,Women,Employment rate,2010,50.2
France,FB,Women,Employment rate,2011,49.8
France,FB,Women,Employment rate,2012,49.8
France,FB,Women,Employment rate,2013,48.4
France,FB,Women,Employment rate,2014,49.9
France,FB,Women,Employment rate,2015,48.8
France,FB,Women,Employment rate,2016,48.1
France,FB,Women,Employment rate,2017,48.8
France,FB,Women,Employment rate,2018,50.3
France,FB,Women,Employment rate,2019,50.9
France,FB,Total,Employment rate,2000,52.2
France,FB,Total,Employment rate,2001,53.5
France,FB,Total,Employment rate,2002,53
France,FB,Total,Employment rate,2003,57.1
France,FB,Total,Employment rate,2004,58.3
France,FB,Total,Employment rate,2005,57.4
France,FB,Total,Employment rate,2006,57.2
France,FB,Total,Employment rate,2007,58.7
France,FB,Total,Employment rate,2008,59.5
France,FB,Total,Employment rate,2009,57.3
France,FB,Total,Employment rate,2010,57.9
France,FB,Total,Employment rate,2011,57.3
France,FB,Total,Employment rate,2012,57.6
France,FB,Total,Employment rate,2013,56.9
France,FB,Total,Employment rate,2014,56.4
France,FB,Total,Employment rate,2015,55.5
France,FB,Total,Employment rate,2016,55.3
France,FB,Total,Employment rate,2017,56.6
France,FB,Total,Employment rate,2018,58.5
France,FB,Total,Employment rate,2019,58.9
Germany,FB,Men,Employment rate,2000,68.4
Germany,FB,Men,Employment rate,2001,69.5
Germany,FB,Men,Employment rate,2002,68.3
Germany,FB,Men,Employment rate,2003,66.5
Germany,FB,Men,Employment rate,2004,65.4
Germany,FB,Men,Employment rate,2005,64.7
Germany,FB,Men,Employment rate,2006,66.4
Germany,FB,Men,Employment rate,2007,69.1
Germany,FB,Men,Employment rate,2008,72.7
Germany,FB,Men,Employment rate,2009,69.8
Germany,FB,Men,Employment rate,2010,74.4
Germany,FB,Men,Employment rate,2011,76.1
Germany,FB,Men,Employment rate,2012,77.1
Germany,FB,Men,Employment rate,2013,77.2
Germany,FB,Men,Employment rate,2014,77
Germany,FB,Men,Employment rate,2015,76.8
Germany,FB,Men,Employment rate,2016,75.3
Germany,FB,Men,Employment rate,2017,74.7
Germany,FB,Men,Employment rate,2018,76.7
Germany,FB,Men,Employment rate,2019,78.4
Germany,FB,Women,Employment rate,2000,50.1
Germany,FB,Women,Employment rate,2001,51.9
Germany,FB,Women,Employment rate,2002,51.9
Germany,FB,Women,Employment rate,2003,51.2
Germany,FB,Women,Employment rate,2004,50
Germany,FB,Women,Employment rate,2005,48.1
Germany,FB,Women,Employment rate,2006,50.2
Germany,FB,Women,Employment rate,2007,51.9
Germany,FB,Women,Employment rate,2008,53.4
Germany,FB,Women,Employment rate,2009,54.6
Germany,FB,Women,Employment rate,2010,55.9
Germany,FB,Women,Employment rate,2011,58.1
Germany,FB,Women,Employment rate,2012,59.3
Germany,FB,Women,Employment rate,2013,59.8
Germany,FB,Women,Employment rate,2014,60.1
Germany,FB,Women,Employment rate,2015,60.1
Germany,FB,Women,Employment rate,2016,60.5
Germany,FB,Women,Employment rate,2017,61.1
Germany,FB,Women,Employment rate,2018,61.8
Germany,FB,Women,Employment rate,2019,62.9
Germany,FB,Total,Employment rate,2000,59.4
Germany,FB,Total,Employment rate,2001,60.8
Germany,FB,Total,Employment rate,2002,60.2
Germany,FB,Total,Employment rate,2003,58.9
Germany,FB,Total,Employment rate,2004,57.8
Germany,FB,Total,Employment rate,2005,56.4
Germany,FB,Total,Employment rate,2006,58.2
Germany,FB,Total,Employment rate,2007,60.2
Germany,FB,Total,Employment rate,2008,62.9
Germany,FB,Total,Employment rate,2009,62.1
Germany,FB,Total,Employment rate,2010,65
Germany,FB,Total,Employment rate,2011,66.9
Germany,FB,Total,Employment rate,2012,68
Germany,FB,Total,Employment rate,2013,68.3
Germany,FB,Total,Employment rate,2014,68.4
Germany,FB,Total,Employment rate,2015,68.4
Germany,FB,Total,Employment rate,2016,68
Germany,FB,Total,Employment rate,2017,68.1
Germany,FB,Total,Employment rate,2018,69.5
Germany,FB,Total,Employment rate,2019,70.8
Hungary,FB,Men,Employment rate,2000,69.4
Hungary,FB,Men,Employment rate,2001,68.3
Hungary,FB,Men,Employment rate,2002,70.1
Hungary,FB,Men,Employment rate,2003,74.8
Hungary,FB,Men,Employment rate,2004,74.6
Hungary,FB,Men,Employment rate,2005,72.3
Hungary,FB,Men,Employment rate,2006,71.8
Hungary,FB,Men,Employment rate,2007,74.3
Hungary,FB,Men,Employment rate,2008,72.9
Hungary,FB,Men,Employment rate,2009,74
Hungary,FB,Men,Employment rate,2010,69.2
Hungary,FB,Men,Employment rate,2011,71.1
Hungary,FB,Men,Employment rate,2012,73.5
Hungary,FB,Men,Employment rate,2013,78.4
Hungary,FB,Men,Employment rate,2014,82.7
Hungary,FB,Men,Employment rate,2015,82.4
Hungary,FB,Men,Employment rate,2016,82.6
Hungary,FB,Men,Employment rate,2017,79.3
Hungary,FB,Men,Employment rate,2018,78.6
Hungary,FB,Men,Employment rate,2019,81
Hungary,FB,Women,Employment rate,2000,49.8
Hungary,FB,Women,Employment rate,2001,44.6
Hungary,FB,Women,Employment rate,2002,45.8
Hungary,FB,Women,Employment rate,2003,53.7
Hungary,FB,Women,Employment rate,2004,50.8
Hungary,FB,Women,Employment rate,2005,54.3
Hungary,FB,Women,Employment rate,2006,51
Hungary,FB,Women,Employment rate,2007,56.6
Hungary,FB,Women,Employment rate,2008,58.3
Hungary,FB,Women,Employment rate,2009,59.2
Hungary,FB,Women,Employment rate,2010,62.4
Hungary,FB,Women,Employment rate,2011,54.7
Hungary,FB,Women,Employment rate,2012,60.4
Hungary,FB,Women,Employment rate,2013,58.3
Hungary,FB,Women,Employment rate,2014,59.5
Hungary,FB,Women,Employment rate,2015,61
Hungary,FB,Women,Employment rate,2016,65.5
Hungary,FB,Women,Employment rate,2017,68.2
Hungary,FB,Women,Employment rate,2018,64.8
Hungary,FB,Women,Employment rate,2019,73.8
Hungary,FB,Total,Employment rate,2000,58.5
Hungary,FB,Total,Employment rate,2001,54.7
Hungary,FB,Total,Employment rate,2002,56.9
Hungary,FB,Total,Employment rate,2003,62.4
Hungary,FB,Total,Employment rate,2004,61.4
Hungary,FB,Total,Employment rate,2005,62.6
Hungary,FB,Total,Employment rate,2006,60.7
Hungary,FB,Total,Employment rate,2007,64.5
Hungary,FB,Total,Employment rate,2008,64.7
Hungary,FB,Total,Employment rate,2009,65.5
Hungary,FB,Total,Employment rate,2010,65.5
Hungary,FB,Total,Employment rate,2011,62.1
Hungary,FB,Total,Employment rate,2012,66.6
Hungary,FB,Total,Employment rate,2013,67.8
Hungary,FB,Total,Employment rate,2014,70.4
Hungary,FB,Total,Employment rate,2015,71.1
Hungary,FB,Total,Employment rate,2016,73.8
Hungary,FB,Total,Employment rate,2017,73.7
Hungary,FB,Total,Employment rate,2018,71.7
Hungary,FB,Total,Employment rate,2019,77.4
Italy,FB,Men,Employment rate,2000,82.3
Italy,FB,Men,Employment rate,2001,80.4
Italy,FB,Men,Employment rate,2002,84
Italy,FB,Men,Employment rate,2003,85.8
Italy,FB,Men,Employment rate,2004,80.7
Italy,FB,Men,Employment rate,2005,79.9
Italy,FB,Men,Employment rate,2006,81.9
Italy,FB,Men,Employment rate,2007,82.4
Italy,FB,Men,Employment rate,2008,80.9
Italy,FB,Men,Employment rate,2009,77.3
Italy,FB,Men,Employment rate,2010,76.1
Italy,FB,Men,Employment rate,2011,75.6
Italy,FB,Men,Employment rate,2012,72.3
Italy,FB,Men,Employment rate,2013,68.6
Italy,FB,Men,Employment rate,2014,68.7
Italy,FB,Men,Employment rate,2015,70
Italy,FB,Men,Employment rate,2016,71.7
Italy,FB,Men,Employment rate,2017,72.4
Italy,FB,Men,Employment rate,2018,73.9
Italy,FB,Men,Employment rate,2019,75.1
Italy,FB,Women,Employment rate,2000,40.5
Italy,FB,Women,Employment rate,2001,39.5
Italy,FB,Women,Employment rate,2002,46.9
Italy,FB,Women,Employment rate,2003,48.6
Italy,FB,Women,Employment rate,2004,49.1
Italy,FB,Women,Employment rate,2005,47.6
Italy,FB,Women,Employment rate,2006,49.9
Italy,FB,Women,Employment rate,2007,51
Italy,FB,Women,Employment rate,2008,51.1
Italy,FB,Women,Employment rate,2009,50.2
Italy,FB,Women,Employment rate,2010,49.5
Italy,FB,Women,Employment rate,2011,49.4
Italy,FB,Women,Employment rate,2012,50
Italy,FB,Women,Employment rate,2013,49.4
Italy,FB,Women,Employment rate,2014,49.7
Italy,FB,Women,Employment rate,2015,49
Italy,FB,Women,Employment rate,2016,48.8
Italy,FB,Women,Employment rate,2017,49.5
Italy,FB,Women,Employment rate,2018,50.2
Italy,FB,Women,Employment rate,2019,49.9
Italy,FB,Total,Employment rate,2000,60.9
Italy,FB,Total,Employment rate,2001,59.2
Italy,FB,Total,Employment rate,2002,65.3
Italy,FB,Total,Employment rate,2003,67.2
Italy,FB,Total,Employment rate,2004,63.4
Italy,FB,Total,Employment rate,2005,63
Italy,FB,Total,Employment rate,2006,65.1
Italy,FB,Total,Employment rate,2007,65.9
Italy,FB,Total,Employment rate,2008,65.1
Italy,FB,Total,Employment rate,2009,62.8
Italy,FB,Total,Employment rate,2010,61.9
Italy,FB,Total,Employment rate,2011,61.5
Italy,FB,Total,Employment rate,2012,60
Italy,FB,Total,Employment rate,2013,58.1
Italy,FB,Total,Employment rate,2014,58.4
Italy,FB,Total,Employment rate,2015,58.6
Italy,FB,Total,Employment rate,2016,59.2
Italy,FB,Total,Employment rate,2017,60
Italy,FB,Total,Employment rate,2018,60.9
Italy,FB,Total,Employment rate,2019,61.4
United Kingdom,FB,Men,Employment rate,2000,70.8
United Kingdom,FB,Men,Employment rate,2001,72.3
United Kingdom,FB,Men,Employment rate,2002,72
United Kingdom,FB,Men,Employment rate,2003,71.8
United Kingdom,FB,Men,Employment rate,2004,72.7
United Kingdom,FB,Men,Employment rate,2005,72.3
United Kingdom,FB,Men,Employment rate,2006,76.2
United Kingdom,FB,Men,Employment rate,2007,76.8
United Kingdom,FB,Men,Employment rate,2008,77.8
United Kingdom,FB,Men,Employment rate,2009,75.8
United Kingdom,FB,Men,Employment rate,2010,76.2
United Kingdom,FB,Men,Employment rate,2011,75.2
United Kingdom,FB,Men,Employment rate,2012,76.7
United Kingdom,FB,Men,Employment rate,2013,76.7
United Kingdom,FB,Men,Employment rate,2014,79
United Kingdom,FB,Men,Employment rate,2015,79.1
United Kingdom,FB,Men,Employment rate,2016,81.2
United Kingdom,FB,Men,Employment rate,2017,82.2
United Kingdom,FB,Men,Employment rate,2018,82.6
United Kingdom,FB,Men,Employment rate,2019,83.1
United Kingdom,FB,Women,Employment rate,2000,52.9
United Kingdom,FB,Women,Employment rate,2001,53.6
United Kingdom,FB,Women,Employment rate,2002,54.6
United Kingdom,FB,Women,Employment rate,2003,54.6
United Kingdom,FB,Women,Employment rate,2004,54.9
United Kingdom,FB,Women,Employment rate,2005,55.8
United Kingdom,FB,Women,Employment rate,2006,56.5
United Kingdom,FB,Women,Employment rate,2007,56.1
United Kingdom,FB,Women,Employment rate,2008,58.4
United Kingdom,FB,Women,Employment rate,2009,57.7
United Kingdom,FB,Women,Employment rate,2010,58.1
United Kingdom,FB,Women,Employment rate,2011,58.7
United Kingdom,FB,Women,Employment rate,2012,57
United Kingdom,FB,Women,Employment rate,2013,59
United Kingdom,FB,Women,Employment rate,2014,60.6
United Kingdom,FB,Women,Employment rate,2015,62.5
United Kingdom,FB,Women,Employment rate,2016,63.1
United Kingdom,FB,Women,Employment rate,2017,63.7
United Kingdom,FB,Women,Employment rate,2018,65.5
United Kingdom,FB,Women,Employment rate,2019,67.1
United Kingdom,FB,Total,Employment rate,2000,61.4
United Kingdom,FB,Total,Employment rate,2001,62.6
United Kingdom,FB,Total,Employment rate,2002,63
United Kingdom,FB,Total,Employment rate,2003,62.8
United Kingdom,FB,Total,Employment rate,2004,63.4
United Kingdom,FB,Total,Employment rate,2005,63.7
United Kingdom,FB,Total,Employment rate,2006,66.2
United Kingdom,FB,Total,Employment rate,2007,66.4
United Kingdom,FB,Total,Employment rate,2008,67.9
United Kingdom,FB,Total,Employment rate,2009,66.6
United Kingdom,FB,Total,Employment rate,2010,66.8
United Kingdom,FB,Total,Employment rate,2011,66.7
United Kingdom,FB,Total,Employment rate,2012,66.5
United Kingdom,FB,Total,Employment rate,2013,67.5
United Kingdom,FB,Total,Employment rate,2014,69.4
United Kingdom,FB,Total,Employment rate,2015,70.5
United Kingdom,FB,Total,Employment rate,2016,71.9
United Kingdom,FB,Total,Employment rate,2017,72.5
United Kingdom,FB,Total,Employment rate,2018,73.7
United Kingdom,FB,Total,Employment rate,2019,74.7
United States,FB,Men,Employment rate,2000,82.4
United States,FB,Men,Employment rate,2001,81.4
United States,FB,Men,Employment rate,2002,80.1
United States,FB,Men,Employment rate,2003,80.2
United States,FB,Men,Employment rate,2004,81.6
United States,FB,Men,Employment rate,2005,82.7
United States,FB,Men,Employment rate,2006,83.5
United States,FB,Men,Employment rate,2007,83.7
United States,FB,Men,Employment rate,2008,82
United States,FB,Men,Employment rate,2009,77.5
United States,FB,Men,Employment rate,2010,77.4
United States,FB,Men,Employment rate,2011,78.1
United States,FB,Men,Employment rate,2012,78.5
United States,FB,Men,Employment rate,2013,79.6
United States,FB,Men,Employment rate,2014,80.9
United States,FB,Men,Employment rate,2015,81.3
United States,FB,Men,Employment rate,2016,81.8
United States,FB,Men,Employment rate,2017,82.6
United States,FB,Men,Employment rate,2018,82.8
United States,FB,Men,Employment rate,2019,83.4
United States,FB,Women,Employment rate,2000,58.5
United States,FB,Women,Employment rate,2001,58
United States,FB,Women,Employment rate,2002,56.9
United States,FB,Women,Employment rate,2003,56.5
United States,FB,Women,Employment rate,2004,57.3
United States,FB,Women,Employment rate,2005,57.7
United States,FB,Women,Employment rate,2006,59.2
United States,FB,Women,Employment rate,2007,59.1
United States,FB,Women,Employment rate,2008,58.9
United States,FB,Women,Employment rate,2009,57.4
United States,FB,Women,Employment rate,2010,57.4
United States,FB,Women,Employment rate,2011,56.7
United States,FB,Women,Employment rate,2012,56.9
United States,FB,Women,Employment rate,2013,57.4
United States,FB,Women,Employment rate,2014,57.5
United States,FB,Women,Employment rate,2015,57.4
United States,FB,Women,Employment rate,2016,58.5
United States,FB,Women,Employment rate,2017,59.6
United States,FB,Women,Employment rate,2018,60.7
United States,FB,Women,Employment rate,2019,61.2
United States,FB,Total,Employment rate,2000,70.5
United States,FB,Total,Employment rate,2001,69.8
United States,FB,Total,Employment rate,2002,68.5
United States,FB,Total,Employment rate,2003,68.5
United States,FB,Total,Employment rate,2004,69.7
United States,FB,Total,Employment rate,2005,70.5
United States,FB,Total,Employment rate,2006,71.6
United States,FB,Total,Employment rate,2007,71.8
United States,FB,Total,Employment rate,2008,70.8
United States,FB,Total,Employment rate,2009,67.7
United States,FB,Total,Employment rate,2010,67.6
United States,FB,Total,Employment rate,2011,67.5
United States,FB,Total,Employment rate,2012,67.7
United States,FB,Total,Employment rate,2013,68.4
United States,FB,Total,Employment rate,2014,69.1
United States,FB,Total,Employment rate,2015,69.2
United States,FB,Total,Employment rate,2016,70
United States,FB,Total,Employment rate,2017,71
United States,FB,Total,Employment rate,2018,71.6
United States,FB,Total,Employment rate,2019,72.2
Canada,NB,Men,Employment rate,2008,76.9
Canada,NB,Men,Employment rate,2009,73.8
Canada,NB,Men,Employment rate,2010,74
Canada,NB,Men,Employment rate,2011,74.8
Canada,NB,Men,Employment rate,2012,74.6
Canada,NB,Men,Employment rate,2013,74.8
Canada,NB,Men,Employment rate,2014,74.9
Canada,NB,Men,Employment rate,2015,74.8
Canada,NB,Men,Employment rate,2016,74.5
Canada,NB,Men,Employment rate,2017,75.4
Canada,NB,Men,Employment rate,2018,76
Canada,NB,Men,Employment rate,2019,76.6
Canada,NB,Women,Employment rate,2008,71.6
Canada,NB,Women,Employment rate,2009,70.5
Canada,NB,Women,Employment rate,2010,70.4
Canada,NB,Women,Employment rate,2011,70.5
Canada,NB,Women,Employment rate,2012,70.5
Canada,NB,Women,Employment rate,2013,71
Canada,NB,Women,Employment rate,2014,70.9
Canada,NB,Women,Employment rate,2015,71.1
Canada,NB,Women,Employment rate,2016,71.2
Canada,NB,Women,Employment rate,2017,71.8
Canada,NB,Women,Employment rate,2018,72.7
Canada,NB,Women,Employment rate,2019,73.3
Canada,NB,Total,Employment rate,2008,74.3
Canada,NB,Total,Employment rate,2009,72.2
Canada,NB,Total,Employment rate,2010,72.2
Canada,NB,Total,Employment rate,2011,72.7
Canada,NB,Total,Employment rate,2012,72.6
Canada,NB,Total,Employment rate,2013,73
Canada,NB,Total,Employment rate,2014,72.9
Canada,NB,Total,Employment rate,2015,73
Canada,NB,Total,Employment rate,2016,72.8
Canada,NB,Total,Employment rate,2017,73.7
Canada,NB,Total,Employment rate,2018,74.4
Canada,NB,Total,Employment rate,2019,74.9
France,NB,Men,Employment rate,2000,69.4
France,NB,Men,Employment rate,2001,70.3
France,NB,Men,Employment rate,2002,70.1
France,NB,Men,Employment rate,2003,70.3
France,NB,Men,Employment rate,2004,69.4
France,NB,Men,Employment rate,2005,69.4
France,NB,Men,Employment rate,2006,69
France,NB,Men,Employment rate,2007,69.5
France,NB,Men,Employment rate,2008,69.7
France,NB,Men,Employment rate,2009,68.5
France,NB,Men,Employment rate,2010,68.5
France,NB,Men,Employment rate,2011,68.4
France,NB,Men,Employment rate,2012,68.4
France,NB,Men,Employment rate,2013,68.1
France,NB,Men,Employment rate,2014,67.8
France,NB,Men,Employment rate,2015,67.7
France,NB,Men,Employment rate,2016,68.2
France,NB,Men,Employment rate,2017,68.9
France,NB,Men,Employment rate,2018,69.1
France,NB,Men,Employment rate,2019,69
France,NB,Women,Employment rate,2000,56.3
France,NB,Women,Employment rate,2001,57.2
France,NB,Women,Employment rate,2002,58
France,NB,Women,Employment rate,2003,59.4
France,NB,Women,Employment rate,2004,58.7
France,NB,Women,Employment rate,2005,59.7
France,NB,Women,Employment rate,2006,59.8
France,NB,Women,Employment rate,2007,61
France,NB,Women,Employment rate,2008,61.6
France,NB,Women,Employment rate,2009,60.9
France,NB,Women,Employment rate,2010,61.3
France,NB,Women,Employment rate,2011,61.3
France,NB,Women,Employment rate,2012,61.7
France,NB,Women,Employment rate,2013,62.2
France,NB,Women,Employment rate,2014,62.1
France,NB,Women,Employment rate,2015,62.5
France,NB,Women,Employment rate,2016,63
France,NB,Women,Employment rate,2017,63.3
France,NB,Women,Employment rate,2018,63.9
France,NB,Women,Employment rate,2019,64.4
France,NB,Total,Employment rate,2000,62.7
France,NB,Total,Employment rate,2001,63.7
France,NB,Total,Employment rate,2002,64
France,NB,Total,Employment rate,2003,64.7
France,NB,Total,Employment rate,2004,64
France,NB,Total,Employment rate,2005,64.5
France,NB,Total,Employment rate,2006,64.4
France,NB,Total,Employment rate,2007,65.2
France,NB,Total,Employment rate,2008,65.6
France,NB,Total,Employment rate,2009,64.7
France,NB,Total,Employment rate,2010,64.9
France,NB,Total,Employment rate,2011,64.8
France,NB,Total,Employment rate,2012,65
France,NB,Total,Employment rate,2013,65.1
France,NB,Total,Employment rate,2014,64.9
France,NB,Total,Employment rate,2015,65.1
France,NB,Total,Employment rate,2016,65.6
France,NB,Total,Employment rate,2017,66
France,NB,Total,Employment rate,2018,66.5
France,NB,Total,Employment rate,2019,66.6
Germany,NB,Men,Employment rate,2000,73.8
Germany,NB,Men,Employment rate,2001,73.4
Germany,NB,Men,Employment rate,2002,72.5
Germany,NB,Men,Employment rate,2003,71.8
Germany,NB,Men,Employment rate,2004,70.8
Germany,NB,Men,Employment rate,2005,72.4
Germany,NB,Men,Employment rate,2006,73.9
Germany,NB,Men,Employment rate,2007,75.1
Germany,NB,Men,Employment rate,2008,76.6
Germany,NB,Men,Employment rate,2009,76
Germany,NB,Men,Employment rate,2010,75.9
Germany,NB,Men,Employment rate,2011,76.6
Germany,NB,Men,Employment rate,2012,78.1
Germany,NB,Men,Employment rate,2013,78.1
Germany,NB,Men,Employment rate,2014,78.3
Germany,NB,Men,Employment rate,2015,78.2
Germany,NB,Men,Employment rate,2016,79.2
Germany,NB,Men,Employment rate,2017,79.9
Germany,NB,Men,Employment rate,2018,80.4
Germany,NB,Men,Employment rate,2019,81
Germany,NB,Women,Employment rate,2000,59.6
Germany,NB,Women,Employment rate,2001,60.5
Germany,NB,Women,Employment rate,2002,60.6
Germany,NB,Women,Employment rate,2003,60.7
Germany,NB,Women,Employment rate,2004,60.3
Germany,NB,Women,Employment rate,2005,61.8
Germany,NB,Women,Employment rate,2006,63.5
Germany,NB,Women,Employment rate,2007,65.7
Germany,NB,Women,Employment rate,2008,66.4
Germany,NB,Women,Employment rate,2009,67.4
Germany,NB,Women,Employment rate,2010,67.8
Germany,NB,Women,Employment rate,2011,69.3
Germany,NB,Women,Employment rate,2012,69.8
Germany,NB,Women,Employment rate,2013,70.8
Germany,NB,Women,Employment rate,2014,71.4
Germany,NB,Women,Employment rate,2015,72.1
Germany,NB,Women,Employment rate,2016,73.2
Germany,NB,Women,Employment rate,2017,74.1
Germany,NB,Women,Employment rate,2018,74.6
Germany,NB,Women,Employment rate,2019,75.3
Germany,NB,Total,Employment rate,2000,66.7
Germany,NB,Total,Employment rate,2001,67
Germany,NB,Total,Employment rate,2002,66.6
Germany,NB,Total,Employment rate,2003,66.3
Germany,NB,Total,Employment rate,2004,65.6
Germany,NB,Total,Employment rate,2005,67.1
Germany,NB,Total,Employment rate,2006,68.8
Germany,NB,Total,Employment rate,2007,70.5
Germany,NB,Total,Employment rate,2008,71.6
Germany,NB,Total,Employment rate,2009,71.7
Germany,NB,Total,Employment rate,2010,71.9
Germany,NB,Total,Employment rate,2011,73
Germany,NB,Total,Employment rate,2012,74
Germany,NB,Total,Employment rate,2013,74.5
Germany,NB,Total,Employment rate,2014,74.9
Germany,NB,Total,Employment rate,2015,75.2
Germany,NB,Total,Employment rate,2016,76.2
Germany,NB,Total,Employment rate,2017,77
Germany,NB,Total,Employment rate,2018,77.5
Germany,NB,Total,Employment rate,2019,78.2
Hungary,NB,Men,Employment rate,2000,62.6
Hungary,NB,Men,Employment rate,2001,62.8
Hungary,NB,Men,Employment rate,2002,62.8
Hungary,NB,Men,Employment rate,2003,63.4
Hungary,NB,Men,Employment rate,2004,62.9
Hungary,NB,Men,Employment rate,2005,63
Hungary,NB,Men,Employment rate,2006,63.6
Hungary,NB,Men,Employment rate,2007,63.9
Hungary,NB,Men,Employment rate,2008,62.8
Hungary,NB,Men,Employment rate,2009,60.9
Hungary,NB,Men,Employment rate,2010,60.2
Hungary,NB,Men,Employment rate,2011,61
Hungary,NB,Men,Employment rate,2012,61.4
Hungary,NB,Men,Employment rate,2013,63.4
Hungary,NB,Men,Employment rate,2014,67.6
Hungary,NB,Men,Employment rate,2015,70
Hungary,NB,Men,Employment rate,2016,72.8
Hungary,NB,Men,Employment rate,2017,75.1
Hungary,NB,Men,Employment rate,2018,76.2
Hungary,NB,Men,Employment rate,2019,77.2
Hungary,NB,Women,Employment rate,2000,49.4
Hungary,NB,Women,Employment rate,2001,49.7
Hungary,NB,Women,Employment rate,2002,49.8
Hungary,NB,Women,Employment rate,2003,50.8
Hungary,NB,Women,Employment rate,2004,50.4
Hungary,NB,Women,Employment rate,2005,50.9
Hungary,NB,Women,Employment rate,2006,51.2
Hungary,NB,Women,Employment rate,2007,50.8
Hungary,NB,Women,Employment rate,2008,50.4
Hungary,NB,Women,Employment rate,2009,49.7
Hungary,NB,Women,Employment rate,2010,50.4
Hungary,NB,Women,Employment rate,2011,50.5
Hungary,NB,Women,Employment rate,2012,51.7
Hungary,NB,Women,Employment rate,2013,52.5
Hungary,NB,Women,Employment rate,2014,55.8
Hungary,NB,Women,Employment rate,2015,57.7
Hungary,NB,Women,Employment rate,2016,60.1
Hungary,NB,Women,Employment rate,2017,61.1
Hungary,NB,Women,Employment rate,2018,62.3
Hungary,NB,Women,Employment rate,2019,62.7
Hungary,NB,Total,Employment rate,2000,55.9
Hungary,NB,Total,Employment rate,2001,56.1
Hungary,NB,Total,Employment rate,2002,56.2
Hungary,NB,Total,Employment rate,2003,57
Hungary,NB,Total,Employment rate,2004,56.5
Hungary,NB,Total,Employment rate,2005,56.8
Hungary,NB,Total,Employment rate,2006,57.3
Hungary,NB,Total,Employment rate,2007,57.2
Hungary,NB,Total,Employment rate,2008,56.5
Hungary,NB,Total,Employment rate,2009,55.2
Hungary,NB,Total,Employment rate,2010,55.2
Hungary,NB,Total,Employment rate,2011,55.7
Hungary,NB,Total,Employment rate,2012,56.4
Hungary,NB,Total,Employment rate,2013,57.9
Hungary,NB,Total,Employment rate,2014,61.6
Hungary,NB,Total,Employment rate,2015,63.8
Hungary,NB,Total,Employment rate,2016,66.4
Hungary,NB,Total,Employment rate,2017,68.1
Hungary,NB,Total,Employment rate,2018,69.2
