Country,Place of birth,Gender,Rate,Year,Unit,PowerCode,Value
Canada,Foreign-born,Women,Employment rate,2015,Percentage,Units,64.2
Canada,Foreign-born,Women,Employment rate,2016,Percentage,Units,65.3
Canada,Foreign-born,Women,Employment rate,2017,Percentage,Units,66.9
Canada,Foreign-born,Women,Employment rate,2018,Percentage,Units,66.6
Canada,Foreign-born,Women,Employment rate,2019,Percentage,Units,67.5
Canada,Foreign-born,Women,Unemployment rate,2008,Percentage,Units,7.3
Canada,Foreign-born,Women,Unemployment rate,2009,Percentage,Units,9.6
Canada,Foreign-born,Women,Unemployment rate,2010,Percentage,Units,9.7
Canada,Foreign-born,Women,Unemployment rate,2011,Percentage,Units,9.3
Canada,Foreign-born,Women,Unemployment rate,2012,Percentage,Units,8.7
Canada,Foreign-born,Women,Unemployment rate,2013,Percentage,Units,8.4
Canada,Foreign-born,Women,Unemployment rate,2014,Percentage,Units,8.4
Canada,Foreign-born,Women,Unemployment rate,2015,Percentage,Units,8.1
Canada,Foreign-born,Women,Unemployment rate,2016,Percentage,Units,7.9
Canada,Foreign-born,Women,Unemployment rate,2017,Percentage,Units,7.3
Canada,Foreign-born,Women,Unemployment rate,2018,Percentage,Units,6.7
Canada,Foreign-born,Women,Unemployment rate,2019,Percentage,Units,6.7
Canada,Foreign-born,Women,Participation rate,2008,Percentage,Units,69.1
Canada,Foreign-born,Women,Participation rate,2009,Percentage,Units,70.2
Canada,Foreign-born,Women,Participation rate,2010,Percentage,Units,70.2
Canada,Foreign-born,Women,Participation rate,2011,Percentage,Units,69.7
Canada,Foreign-born,Women,Participation rate,2012,Percentage,Units,70.6
Canada,Foreign-born,Women,Participation rate,2013,Percentage,Units,71.1
Canada,Foreign-born,Women,Participation rate,2014,Percentage,Units,70.4
Canada,Foreign-born,Women,Participation rate,2015,Percentage,Units,69.9
Canada,Foreign-born,Women,Participation rate,2016,Percentage,Units,70.8
Canada,Foreign-born,Women,Participation rate,2017,Percentage,Units,72.2
Canada,Foreign-born,Women,Participation rate,2018,Percentage,Units,71.4
Canada,Foreign-born,Women,Participation rate,2019,Percentage,Units,72.3
Canada,Foreign-born,Total,Employment rate,2008,Percentage,Units,70.8
Canada,Foreign-born,Total,Employment rate,2009,Percentage,Units,68.5
Canada,Foreign-born,Total,Employment rate,2010,Percentage,Units,68.8
Canada,Foreign-born,Total,Employment rate,2011,Percentage,Units,69
Canada,Foreign-born,Total,Employment rate,2012,Percentage,Units,70.1
Canada,Foreign-born,Total,Employment rate,2013,Percentage,Units,70.6
Canada,Foreign-born,Total,Employment rate,2014,Percentage,Units,70.1
Canada,Foreign-born,Total,Employment rate,2015,Percentage,Units,70.9
Canada,Foreign-born,Total,Employment rate,2016,Percentage,Units,71.7
Canada,Foreign-born,Total,Employment rate,2017,Percentage,Units,72.8
Canada,Foreign-born,Total,Employment rate,2018,Percentage,Units,72.3
Canada,Foreign-born,Total,Employment rate,2019,Percentage,Units,73.2
Canada,Foreign-born,Total,Unemployment rate,2008,Percentage,Units,7
Canada,Foreign-born,Total,Unemployment rate,2009,Percentage,Units,10.1
Canada,Foreign-born,Total,Unemployment rate,2010,Percentage,Units,9.8
Canada,Foreign-born,Total,Unemployment rate,2011,Percentage,Units,8.8
Canada,Foreign-born,Total,Unemployment rate,2012,Percentage,Units,8.4
Canada,Foreign-born,Total,Unemployment rate,2013,Percentage,Units,8.2
Canada,Foreign-born,Total,Unemployment rate,2014,Percentage,Units,8
Canada,Foreign-born,Total,Unemployment rate,2015,Percentage,Units,7.5
Canada,Foreign-born,Total,Unemployment rate,2016,Percentage,Units,7.6
Canada,Foreign-born,Total,Unemployment rate,2017,Percentage,Units,6.8
Canada,Foreign-born,Total,Unemployment rate,2018,Percentage,Units,6.4
Canada,Foreign-born,Total,Unemployment rate,2019,Percentage,Units,6.3
Canada,Foreign-born,Total,Participation rate,2008,Percentage,Units,76.2
Canada,Foreign-born,Total,Participation rate,2009,Percentage,Units,76.2
Canada,Foreign-born,Total,Participation rate,2010,Percentage,Units,76.2
Canada,Foreign-born,Total,Participation rate,2011,Percentage,Units,75.6
Canada,Foreign-born,Total,Participation rate,2012,Percentage,Units,76.5
Canada,Foreign-born,Total,Participation rate,2013,Percentage,Units,76.9
Canada,Foreign-born,Total,Participation rate,2014,Percentage,Units,76.2
Canada,Foreign-born,Total,Participation rate,2015,Percentage,Units,76.7
Canada,Foreign-born,Total,Participation rate,2016,Percentage,Units,77.6
Canada,Foreign-born,Total,Participation rate,2017,Percentage,Units,78.1
Canada,Foreign-born,Total,Participation rate,2018,Percentage,Units,77.3
Canada,Foreign-born,Total,Participation rate,2019,Percentage,Units,78.1
France,Foreign-born,Men,Employment rate,2000,Percentage,Units,61.8
France,Foreign-born,Men,Employment rate,2001,Percentage,Units,63.5
France,Foreign-born,Men,Employment rate,2002,Percentage,Units,62.4
France,Foreign-born,Men,Employment rate,2003,Percentage,Units,64.8
France,Foreign-born,Men,Employment rate,2004,Percentage,Units,67.8
France,Foreign-born,Men,Employment rate,2005,Percentage,Units,67.2
France,Foreign-born,Men,Employment rate,2006,Percentage,Units,67.1
France,Foreign-born,Men,Employment rate,2007,Percentage,Units,67.8
France,Foreign-born,Men,Employment rate,2008,Percentage,Units,68.9
France,Foreign-born,Men,Employment rate,2009,Percentage,Units,64.9
France,Foreign-born,Men,Employment rate,2010,Percentage,Units,66
France,Foreign-born,Men,Employment rate,2011,Percentage,Units,65.5
France,Foreign-born,Men,Employment rate,2012,Percentage,Units,66.2
France,Foreign-born,Men,Employment rate,2013,Percentage,Units,66.3
France,Foreign-born,Men,Employment rate,2014,Percentage,Units,63.8
France,Foreign-born,Men,Employment rate,2015,Percentage,Units,62.9
France,Foreign-born,Men,Employment rate,2016,Percentage,Units,63.6
France,Foreign-born,Men,Employment rate,2017,Percentage,Units,65.5
France,Foreign-born,Men,Employment rate,2018,Percentage,Units,67.9
France,Foreign-born,Men,Employment rate,2019,Percentage,Units,68
France,Foreign-born,Men,Unemployment rate,2000,Percentage,Units,14.5
France,Foreign-born,Men,Unemployment rate,2001,Percentage,Units,12.5
France,Foreign-born,Men,Unemployment rate,2002,Percentage,Units,13.6
France,Foreign-born,Men,Unemployment rate,2003,Percentage,Units,14.8
France,Foreign-born,Men,Unemployment rate,2004,Percentage,Units,12.5
France,Foreign-born,Men,Unemployment rate,2005,Percentage,Units,12.4
France,Foreign-born,Men,Unemployment rate,2006,Percentage,Units,12.7
France,Foreign-born,Men,Unemployment rate,2007,Percentage,Units,11.9
France,Foreign-born,Men,Unemployment rate,2008,Percentage,Units,11.5
France,Foreign-born,Men,Unemployment rate,2009,Percentage,Units,15.2
France,Foreign-born,Men,Unemployment rate,2010,Percentage,Units,14
France,Foreign-born,Men,Unemployment rate,2011,Percentage,Units,14.3
France,Foreign-born,Men,Unemployment rate,2012,Percentage,Units,14.8
France,Foreign-born,Men,Unemployment rate,2013,Percentage,Units,16
France,Foreign-born,Men,Unemployment rate,2014,Percentage,Units,16.7
France,Foreign-born,Men,Unemployment rate,2015,Percentage,Units,17.8
France,Foreign-born,Men,Unemployment rate,2016,Percentage,Units,16.4
France,Foreign-born,Men,Unemployment rate,2017,Percentage,Units,14.9
France,Foreign-born,Men,Unemployment rate,2018,Percentage,Units,13.8
France,Foreign-born,Men,Unemployment rate,2019,Percentage,Units,12.4
France,Foreign-born,Men,Participation rate,2000,Percentage,Units,72.2
France,Foreign-born,Men,Participation rate,2001,Percentage,Units,72.6
France,Foreign-born,Men,Participation rate,2002,Percentage,Units,72.3
France,Foreign-born,Men,Participation rate,2003,Percentage,Units,76.1
France,Foreign-born,Men,Participation rate,2004,Percentage,Units,77.5
France,Foreign-born,Men,Participation rate,2005,Percentage,Units,76.6
France,Foreign-born,Men,Participation rate,2006,Percentage,Units,76.9
France,Foreign-born,Men,Participation rate,2007,Percentage,Units,77
France,Foreign-born,Men,Participation rate,2008,Percentage,Units,77.8
France,Foreign-born,Men,Participation rate,2009,Percentage,Units,76.6
France,Foreign-born,Men,Participation rate,2010,Percentage,Units,76.7
France,Foreign-born,Men,Participation rate,2011,Percentage,Units,76.5
France,Foreign-born,Men,Participation rate,2012,Percentage,Units,77.7
France,Foreign-born,Men,Participation rate,2013,Percentage,Units,78.9
France,Foreign-born,Men,Participation rate,2014,Percentage,Units,76.7
France,Foreign-born,Men,Participation rate,2015,Percentage,Units,76.6
France,Foreign-born,Men,Participation rate,2016,Percentage,Units,76.1
France,Foreign-born,Men,Participation rate,2017,Percentage,Units,77
France,Foreign-born,Men,Participation rate,2018,Percentage,Units,78.7
France,Foreign-born,Men,Participation rate,2019,Percentage,Units,77.6
France,Foreign-born,Women,Employment rate,2000,Percentage,Units,42.6
France,Foreign-born,Women,Employment rate,2001,Percentage,Units,43.7
France,Foreign-born,Women,Employment rate,2002,Percentage,Units,43.8
France,Foreign-born,Women,Employment rate,2003,Percentage,Units,49.6
France,Foreign-born,Women,Employment rate,2004,Percentage,Units,49.1
France,Foreign-born,Women,Employment rate,2005,Percentage,Units,48.2
France,Foreign-born,Women,Employment rate,2006,Percentage,Units,47.9
France,Foreign-born,Women,Employment rate,2007,Percentage,Units,50.5
France,Foreign-born,Women,Employment rate,2008,Percentage,Units,50.8
France,Foreign-born,Women,Employment rate,2009,Percentage,Units,50.4
France,Foreign-born,Women,Employment rate,2010,Percentage,Units,50.2
France,Foreign-born,Women,Employment rate,2011,Percentage,Units,49.8
France,Foreign-born,Women,Employment rate,2012,Percentage,Units,49.8
France,Foreign-born,Women,Employment rate,2013,Percentage,Units,48.4
France,Foreign-born,Women,Employment rate,2014,Percentage,Units,49.9
France,Foreign-born,Women,Employment rate,2015,Percentage,Units,48.8
France,Foreign-born,Women,Employment rate,2016,Percentage,Units,48.1
France,Foreign-born,Women,Employment rate,2017,Percentage,Units,48.8
France,Foreign-born,Women,Employment rate,2018,Percentage,Units,50.3
France,Foreign-born,Women,Employment rate,2019,Percentage,Units,50.9
France,Foreign-born,Women,Unemployment rate,2000,Percentage,Units,19.7
France,Foreign-born,Women,Unemployment rate,2001,Percentage,Units,16.6
France,Foreign-born,Women,Unemployment rate,2002,Percentage,Units,15
France,Foreign-born,Women,Unemployment rate,2003,Percentage,Units,15.3
France,Foreign-born,Women,Unemployment rate,2004,Percentage,Units,16.7
France,Foreign-born,Women,Unemployment rate,2005,Percentage,Units,16.8
France,Foreign-born,Women,Unemployment rate,2006,Percentage,Units,16.2
France,Foreign-born,Women,Unemployment rate,2007,Percentage,Units,14.5
France,Foreign-born,Women,Unemployment rate,2008,Percentage,Units,12.7
France,Foreign-born,Women,Unemployment rate,2009,Percentage,Units,14.9
France,Foreign-born,Women,Unemployment rate,2010,Percentage,Units,15.1
France,Foreign-born,Women,Unemployment rate,2011,Percentage,Units,16.6
France,Foreign-born,Women,Unemployment rate,2012,Percentage,Units,15
France,Foreign-born,Women,Unemployment rate,2013,Percentage,Units,16.5
France,Foreign-born,Women,Unemployment rate,2014,Percentage,Units,16.4
France,Foreign-born,Women,Unemployment rate,2015,Percentage,Units,16.8
France,Foreign-born,Women,Unemployment rate,2016,Percentage,Units,17
France,Foreign-born,Women,Unemployment rate,2017,Percentage,Units,16
France,Foreign-born,Women,Unemployment rate,2018,Percentage,Units,15.6
France,Foreign-born,Women,Unemployment rate,2019,Percentage,Units,13.9
France,Foreign-born,Women,Participation rate,2000,Percentage,Units,53.1
France,Foreign-born,Women,Participation rate,2001,Percentage,Units,52.4
France,Foreign-born,Women,Participation rate,2002,Percentage,Units,51.5
France,Foreign-born,Women,Participation rate,2003,Percentage,Units,58.5
France,Foreign-born,Women,Participation rate,2004,Percentage,Units,58.9
France,Foreign-born,Women,Participation rate,2005,Percentage,Units,57.9
France,Foreign-born,Women,Participation rate,2006,Percentage,Units,57.1
France,Foreign-born,Women,Participation rate,2007,Percentage,Units,59
France,Foreign-born,Women,Participation rate,2008,Percentage,Units,58.3
France,Foreign-born,Women,Participation rate,2009,Percentage,Units,59.2
France,Foreign-born,Women,Participation rate,2010,Percentage,Units,59.2
France,Foreign-born,Women,Participation rate,2011,Percentage,Units,59.7
France,Foreign-born,Women,Participation rate,2012,Percentage,Units,58.5
France,Foreign-born,Women,Participation rate,2013,Percentage,Units,58
France,Foreign-born,Women,Participation rate,2014,Percentage,Units,59.6
France,Foreign-born,Women,Participation rate,2015,Percentage,Units,58.7
France,Foreign-born,Women,Participation rate,2016,Percentage,Units,57.9
France,Foreign-born,Women,Participation rate,2017,Percentage,Units,58
France,Foreign-born,Women,Participation rate,2018,Percentage,Units,59.6
France,Foreign-born,Women,Participation rate,2019,Percentage,Units,59.1
France,Foreign-born,Total,Employment rate,2000,Percentage,Units,52.2
France,Foreign-born,Total,Employment rate,2001,Percentage,Units,53.5
France,Foreign-born,Total,Employment rate,2002,Percentage,Units,53
France,Foreign-born,Total,Employment rate,2003,Percentage,Units,57.1
France,Foreign-born,Total,Employment rate,2004,Percentage,Units,58.3
France,Foreign-born,Total,Employment rate,2005,Percentage,Units,57.4
France,Foreign-born,Total,Employment rate,2006,Percentage,Units,57.2
France,Foreign-born,Total,Employment rate,2007,Percentage,Units,58.7
France,Foreign-born,Total,Employment rate,2008,Percentage,Units,59.5
France,Foreign-born,Total,Employment rate,2009,Percentage,Units,57.3
France,Foreign-born,Total,Employment rate,2010,Percentage,Units,57.9
France,Foreign-born,Total,Employment rate,2011,Percentage,Units,57.3
France,Foreign-born,Total,Employment rate,2012,Percentage,Units,57.6
France,Foreign-born,Total,Employment rate,2013,Percentage,Units,56.9
France,Foreign-born,Total,Employment rate,2014,Percentage,Units,56.4
France,Foreign-born,Total,Employment rate,2015,Percentage,Units,55.5
France,Foreign-born,Total,Employment rate,2016,Percentage,Units,55.3
France,Foreign-born,Total,Employment rate,2017,Percentage,Units,56.6
France,Foreign-born,Total,Employment rate,2018,Percentage,Units,58.5
France,Foreign-born,Total,Employment rate,2019,Percentage,Units,58.9
France,Foreign-born,Total,Unemployment rate,2000,Percentage,Units,16.7
France,Foreign-born,Total,Unemployment rate,2001,Percentage,Units,14.2
France,Foreign-born,Total,Unemployment rate,2002,Percentage,Units,14.2
France,Foreign-born,Total,Unemployment rate,2003,Percentage,Units,15
France,Foreign-born,Total,Unemployment rate,2004,Percentage,Units,14.4
France,Foreign-born,Total,Unemployment rate,2005,Percentage,Units,14.4
France,Foreign-born,Total,Unemployment rate,2006,Percentage,Units,14.2
France,Foreign-born,Total,Unemployment rate,2007,Percentage,Units,13.1
France,Foreign-born,Total,Unemployment rate,2008,Percentage,Units,12
France,Foreign-born,Total,Unemployment rate,2009,Percentage,Units,15.1
France,Foreign-born,Total,Unemployment rate,2010,Percentage,Units,14.5
France,Foreign-born,Total,Unemployment rate,2011,Percentage,Units,15.4
France,Foreign-born,Total,Unemployment rate,2012,Percentage,Units,14.9
France,Foreign-born,Total,Unemployment rate,2013,Percentage,Units,16.2
France,Foreign-born,Total,Unemployment rate,2014,Percentage,Units,16.6
France,Foreign-born,Total,Unemployment rate,2015,Percentage,Units,17.3
France,Foreign-born,Total,Unemployment rate,2016,Percentage,Units,16.7
France,Foreign-born,Total,Unemployment rate,2017,Percentage,Units,15.4
France,Foreign-born,Total,Unemployment rate,2018,Percentage,Units,14.6
France,Foreign-born,Total,Unemployment rate,2019,Percentage,Units,13.1
France,Foreign-born,Total,Participation rate,2000,Percentage,Units,62.7
France,Foreign-born,Total,Participation rate,2001,Percentage,Units,62.4
France,Foreign-born,Total,Participation rate,2002,Percentage,Units,61.7
France,Foreign-born,Total,Participation rate,2003,Percentage,Units,67.2
France,Foreign-born,Total,Participation rate,2004,Percentage,Units,68.1
France,Foreign-born,Total,Participation rate,2005,Percentage,Units,67
France,Foreign-born,Total,Participation rate,2006,Percentage,Units,66.7
France,Foreign-born,Total,Participation rate,2007,Percentage,Units,67.6
France,Foreign-born,Total,Participation rate,2008,Percentage,Units,67.6
France,Foreign-born,Total,Participation rate,2009,Percentage,Units,67.5
France,Foreign-born,Total,Participation rate,2010,Percentage,Units,67.7
France,Foreign-born,Total,Participation rate,2011,Percentage,Units,67.7
France,Foreign-born,Total,Participation rate,2012,Percentage,Units,67.7
France,Foreign-born,Total,Participation rate,2013,Percentage,Units,67.9
France,Foreign-born,Total,Participation rate,2014,Percentage,Units,67.6
France,Foreign-born,Total,Participation rate,2015,Percentage,Units,67.1
France,Foreign-born,Total,Participation rate,2016,Percentage,Units,66.4
France,Foreign-born,Total,Participation rate,2017,Percentage,Units,66.9
France,Foreign-born,Total,Participation rate,2018,Percentage,Units,68.5
France,Foreign-born,Total,Participation rate,2019,Percentage,Units,67.8
Germany,Foreign-born,Men,Employment rate,2000,Percentage,Units,68.4
Germany,Foreign-born,Men,Employment rate,2001,Percentage,Units,69.5
Germany,Foreign-born,Men,Employment rate,2002,Percentage,Units,68.3
Germany,Foreign-born,Men,Employment rate,2003,Percentage,Units,66.5
Germany,Foreign-born,Men,Employment rate,2004,Percentage,Units,65.4
Germany,Foreign-born,Men,Employment rate,2005,Percentage,Units,64.7
Germany,Foreign-born,Men,Employment rate,2006,Percentage,Units,66.4
Germany,Foreign-born,Men,Employment rate,2007,Percentage,Units,69.1
Germany,Foreign-born,Men,Employment rate,2008,Percentage,Units,72.7
Germany,Foreign-born,Men,Employment rate,2009,Percentage,Units,69.8
Germany,Foreign-born,Men,Employment rate,2010,Percentage,Units,74.4
Germany,Foreign-born,Men,Employment rate,2011,Percentage,Units,76.1
Germany,Foreign-born,Men,Employment rate,2012,Percentage,Units,77.1
Germany,Foreign-born,Men,Employment rate,2013,Percentage,Units,77.2
Germany,Foreign-born,Men,Employment rate,2014,Percentage,Units,77
Germany,Foreign-born,Men,Employment rate,2015,Percentage,Units,76.8
Germany,Foreign-born,Men,Employment rate,2016,Percentage,Units,75.3
Germany,Foreign-born,Men,Employment rate,2017,Percentage,Units,74.7
Germany,Foreign-born,Men,Employment rate,2018,Percentage,Units,76.7
Germany,Foreign-born,Men,Employment rate,2019,Percentage,Units,78.4
Germany,Foreign-born,Men,Unemployment rate,2000,Percentage,Units,11
Germany,Foreign-born,Men,Unemployment rate,2001,Percentage,Units,10.2
Germany,Foreign-born,Men,Unemployment rate,2002,Percentage,Units,11.2
Germany,Foreign-born,Men,Unemployment rate,2003,Percentage,Units,14.2
Germany,Foreign-born,Men,Unemployment rate,2004,Percentage,Units,15.7
Germany,Foreign-born,Men,Unemployment rate,2005,Percentage,Units,17.9
Germany,Foreign-born,Men,Unemployment rate,2006,Percentage,Units,17
Germany,Foreign-born,Men,Unemployment rate,2007,Percentage,Units,15.2
Germany,Foreign-born,Men,Unemployment rate,2008,Percentage,Units,11.8
Germany,Foreign-born,Men,Unemployment rate,2009,Percentage,Units,14.2
Germany,Foreign-born,Men,Unemployment rate,2010,Percentage,Units,11.3
Germany,Foreign-born,Men,Unemployment rate,2011,Percentage,Units,8.7
Germany,Foreign-born,Men,Unemployment rate,2012,Percentage,Units,8.7
Germany,Foreign-born,Men,Unemployment rate,2013,Percentage,Units,8.3
Germany,Foreign-born,Men,Unemployment rate,2014,Percentage,Units,8.3
Germany,Foreign-born,Men,Unemployment rate,2015,Percentage,Units,8.1
Germany,Foreign-born,Men,Unemployment rate,2016,Percentage,Units,7.3
Germany,Foreign-born,Men,Unemployment rate,2017,Percentage,Units,7.1
Germany,Foreign-born,Men,Unemployment rate,2018,Percentage,Units,6.6
Germany,Foreign-born,Men,Unemployment rate,2019,Percentage,Units,6.1
Germany,Foreign-born,Men,Participation rate,2000,Percentage,Units,76.9
Germany,Foreign-born,Men,Participation rate,2001,Percentage,Units,77.4
Germany,Foreign-born,Men,Participation rate,2002,Percentage,Units,76.8
Germany,Foreign-born,Men,Participation rate,2003,Percentage,Units,77.6
Germany,Foreign-born,Men,Participation rate,2004,Percentage,Units,77.6
Germany,Foreign-born,Men,Participation rate,2005,Percentage,Units,78.8
Germany,Foreign-born,Men,Participation rate,2006,Percentage,Units,79.9
Germany,Foreign-born,Men,Participation rate,2007,Percentage,Units,81.4
Germany,Foreign-born,Men,Participation rate,2008,Percentage,Units,82.4
Germany,Foreign-born,Men,Participation rate,2009,Percentage,Units,81.3
Germany,Foreign-born,Men,Participation rate,2010,Percentage,Units,83.9
Germany,Foreign-born,Men,Participation rate,2011,Percentage,Units,83.4
Germany,Foreign-born,Men,Participation rate,2012,Percentage,Units,84.4
Germany,Foreign-born,Men,Participation rate,2013,Percentage,Units,84.2
Germany,Foreign-born,Men,Participation rate,2014,Percentage,Units,83.9
Germany,Foreign-born,Men,Participation rate,2015,Percentage,Units,83.5
Germany,Foreign-born,Men,Participation rate,2016,Percentage,Units,81.2
Germany,Foreign-born,Men,Participation rate,2017,Percentage,Units,80.5
Germany,Foreign-born,Men,Participation rate,2018,Percentage,Units,82.1
Germany,Foreign-born,Men,Participation rate,2019,Percentage,Units,83.5
Germany,Foreign-born,Women,Employment rate,2000,Percentage,Units,50.1
Germany,Foreign-born,Women,Employment rate,2001,Percentage,Units,51.9
Germany,Foreign-born,Women,Employment rate,2002,Percentage,Units,51.9
Germany,Foreign-born,Women,Employment rate,2003,Percentage,Units,51.2
Germany,Foreign-born,Women,Employment rate,2004,Percentage,Units,50
Germany,Foreign-born,Women,Employment rate,2005,Percentage,Units,48.1
Germany,Foreign-born,Women,Employment rate,2006,Percentage,Units,50.2
Germany,Foreign-born,Women,Employment rate,2007,Percentage,Units,51.9
Germany,Foreign-born,Women,Employment rate,2008,Percentage,Units,53.4
Germany,Foreign-born,Women,Employment rate,2009,Percentage,Units,54.6
Germany,Foreign-born,Women,Employment rate,2010,Percentage,Units,55.9
Germany,Foreign-born,Women,Employment rate,2011,Percentage,Units,58.1
Germany,Foreign-born,Women,Employment rate,2012,Percentage,Units,59.3
Germany,Foreign-born,Women,Employment rate,2013,Percentage,Units,59.8
Germany,Foreign-born,Women,Employment rate,2014,Percentage,Units,60.1
Germany,Foreign-born,Women,Employment rate,2015,Percentage,Units,60.1
Germany,Foreign-born,Women,Employment rate,2016,Percentage,Units,60.5
Germany,Foreign-born,Women,Employment rate,2017,Percentage,Units,61.1
Germany,Foreign-born,Women,Employment rate,2018,Percentage,Units,61.8
Germany,Foreign-born,Women,Employment rate,2019,Percentage,Units,62.9
Germany,Foreign-born,Women,Unemployment rate,2000,Percentage,Units,10
Germany,Foreign-born,Women,Unemployment rate,2001,Percentage,Units,9.4
Germany,Foreign-born,Women,Unemployment rate,2002,Percentage,Units,9.5
Germany,Foreign-born,Women,Unemployment rate,2003,Percentage,Units,11.6
Germany,Foreign-born,Women,Unemployment rate,2004,Percentage,Units,13
Germany,Foreign-born,Women,Unemployment rate,2005,Percentage,Units,16.9
Germany,Foreign-born,Women,Unemployment rate,2006,Percentage,Units,16.5
Germany,Foreign-born,Women,Unemployment rate,2007,Percentage,Units,13.8
Germany,Foreign-born,Women,Unemployment rate,2008,Percentage,Units,13
Germany,Foreign-born,Women,Unemployment rate,2009,Percentage,Units,11.8
Germany,Foreign-born,Women,Unemployment rate,2010,Percentage,Units,10.1
Germany,Foreign-born,Women,Unemployment rate,2011,Percentage,Units,9.1
Germany,Foreign-born,Women,Unemployment rate,2012,Percentage,Units,8.2
Germany,Foreign-born,Women,Unemployment rate,2013,Percentage,Units,7.9
Germany,Foreign-born,Women,Unemployment rate,2014,Percentage,Units,7.4
Germany,Foreign-born,Women,Unemployment rate,2015,Percentage,Units,7.3
Germany,Foreign-born,Women,Unemployment rate,2016,Percentage,Units,6.2
Germany,Foreign-born,Women,Unemployment rate,2017,Percentage,Units,5.4
Germany,Foreign-born,Women,Unemployment rate,2018,Percentage,Units,5.1
Germany,Foreign-born,Women,Unemployment rate,2019,Percentage,Units,4.9
Germany,Foreign-born,Women,Participation rate,2000,Percentage,Units,55.7
Germany,Foreign-born,Women,Participation rate,2001,Percentage,Units,57.2
Germany,Foreign-born,Women,Participation rate,2002,Percentage,Units,57.4
Germany,Foreign-born,Women,Participation rate,2003,Percentage,Units,57.9
Germany,Foreign-born,Women,Participation rate,2004,Percentage,Units,57.5
Germany,Foreign-born,Women,Participation rate,2005,Percentage,Units,57.9
Germany,Foreign-born,Women,Participation rate,2006,Percentage,Units,60.2
Germany,Foreign-born,Women,Participation rate,2007,Percentage,Units,60.2
Germany,Foreign-born,Women,Participation rate,2008,Percentage,Units,61.3
Germany,Foreign-born,Women,Participation rate,2009,Percentage,Units,61.8
Germany,Foreign-born,Women,Participation rate,2010,Percentage,Units,62.2
Germany,Foreign-born,Women,Participation rate,2011,Percentage,Units,64
Germany,Foreign-born,Women,Participation rate,2012,Percentage,Units,64.6
Germany,Foreign-born,Women,Participation rate,2013,Percentage,Units,64.9
